TRX_ID,OR_ORG_ID,TRX_SOURCE,TRX_TYPE,TRX_NUM,TRX_AMT,TRL_NUM,TRL_TAX_LINE_NUM,TRL_LINE_ID,TRL_TAX_ID,TRL_TYPE,TRL_AMT,TRL_TAX_CODE,TRLT_TAX_CODE,TRL_ITEM_TAX_CAT,TRL_SF_COUNTRY_CODE,TRL_SF_WHSE,TRL_SDF_COUNTRY_CODE,TRX_SDT_COUNTRY_CODE,TRL_BT_COUNTRY_CODE,TRL_ST_COUNTRY_CODE,TRL_FOB_POINT_CODE,SHIP_VIA,== sbx line info =>>,BATCH_ID,LINE_ID,INVOICE_ID,LINE_TAX_ID,LINE_NUMBER,DELIVERY_TERMS,GROSS_AMOUNT,POINT_OF_TITLE_TRANSFER,PRODUCT_CODE,SF_COUNTRY,TAX_CODE,SBXL_ATTR4,SBXL_ATTR5,SBXL_ATTR41,SBXL_ATTR42,SBXL_ATTR43,SBXL_ATTR45,SBXL_ATTR46,SBXL_ATTR47,SBXL_ATTR48,SBXL_ATTR49,== sbx tax outcome =>>,TAX_DIRECTION,ADDRESS_TYPE,ADMIN_ZONE_LEVEL,AUTHORITY_CURRENCY_CODE,AUTHORITY_NAME,AUTHORITY_TYPE,BASIS_PERCENT,CALCULATION_METHOD,EFFECTIVE_ZONE_LEVEL,NATURE_OF_TAX,EU_TRANSACTION,EXEMPT_CERTIFICATE,EXEMPT_REASON,IS_EXEMPT,IS_INTRASTAT_REPORTED,IS_TRIANGULATION,IS_VAT_REPORTED,IS_VIES_REPORTED,JURISDICTION_TEXT,ERP_TAX_CODE,LINE_COMMENT,LOCATION_CODE,OVERRIDE_RATE,RULE_ORDER,TAXABLE_COUNTRY,TAXABLE_COUNTY,TAXABLE_BASIS,AUTHORITY_AMOUNT,EXEMPT_AMOUNT,TAX_AMOUNT,TAX_RATE_CODE,TAX_TYPE,TAX_RATE,ZONE_LEVEL,ZONE_NAME
2190000,153,NL ORDER IMPORT,NLB INVOICE,631054107,1812.36,1,1,31585422,31585899,LINE,0,SABRIX,631NLAR_ICGS,SYS-HW,NL,NetApp EMEA 3PL - EMA,NL,BE,BE,FR,DDP,KN AMS,== sbx line info =>>,15107351,1,1,1,315854221,,0,DDP,SYS-HW,,SABRIX,B,SYS-HW-BUNDLED,31585422,7632141,,Soluceo DGPF,96886,,,,== sbx tax outcome =>>,O,SF,Country,EUR,Netherlands,VAT,,1,Country,P,Y,,,,D,N,N,Y,"EUSG7: Nultarief van toepassing art 9, lid 2, b) Wet OBTabel II, onderdeel a, post 6",NLVAT,ORACLE[NLVAT],,,5003,NL,,0,0,0,0,ZR,ZC,0,Country,NETHERLANDS
2190000,153,NL ORDER IMPORT,NLB INVOICE,631054107,1812.36,2,1,31585459,31585900,LINE,54.78,SABRIX,631NLAR_ICGS,SYS-HW,NL,NetApp EMEA 3PL - EMA,NL,BE,BE,FR,DDP,KN AMS,== sbx line info =>>,15107351,2,1,1,315854592,,54.78,DDP,SYS-HW,,SABRIX,B,SYS-HW-BUNDLED,31585459,569149,,Soluceo DGPF,96886,,,,== sbx tax outcome =>>,O,SF,Country,EUR,Netherlands,VAT,,1,Country,P,Y,,,,D,N,N,Y,"EUSG7: Nultarief van toepassing art 9, lid 2, b) Wet OBTabel II, onderdeel a, post 6",NLVAT,ORACLE[NLVAT],,,5003,NL,,54.78,54.78,0,0,ZR,ZC,0,Country,NETHERLANDS
2190000,153,NL ORDER IMPORT,NLB INVOICE,631054107,1812.36,3,1,31585460,31585901,LINE,19.14,SABRIX,631NLAR_ICGS,SYS-HW,NL,NetApp EMEA 3PL - EMA,NL,BE,BE,FR,DDP,KN AMS,== sbx line info =>>,15107351,3,1,1,315854603,,19.14,DDP,SYS-HW,,SABRIX,B,SYS-HW-BUNDLED,31585460,722185,,Soluceo DGPF,96886,,,,== sbx tax outcome =>>,O,SF,Country,EUR,Netherlands,VAT,,1,Country,P,Y,,,,D,N,N,Y,"EUSG7: Nultarief van toepassing art 9, lid 2, b) Wet OBTabel II, onderdeel a, post 6",NLVAT,ORACLE[NLVAT],,,5003,NL,,19.14,19.14,0,0,ZR,ZC,0,Country,NETHERLANDS
2190000,153,NL ORDER IMPORT,NLB INVOICE,631054107,1812.36,4,1,31585461,31585902,LINE,1738.44,SABRIX,631NLAR_ICGS,SYS-HW,NL,NetApp EMEA 3PL - EMA,NL,BE,BE,FR,DDP,KN AMS,== sbx line info =>>,15107351,4,1,1,315854614,,1738.44,DDP,SYS-HW,,SABRIX,B,SYS-HW-BUNDLED,31585461,722184,,Soluceo DGPF,96886,,,,== sbx tax outcome =>>,O,SF,Country,EUR,Netherlands,VAT,,1,Country,P,Y,,,,D,N,N,Y,"EUSG7: Nultarief van toepassing art 9, lid 2, b) Wet OBTabel II, onderdeel a, post 6",NLVAT,ORACLE[NLVAT],,,5003,NL,,1738.44,1738.44,0,0,ZR,ZC,0,Country,NETHERLANDS
2140400,153,NL ORDER IMPORT,NLB INVOICE,631051854,19251.1,1,1,30725843,30726493,LINE,0,SABRIX,631NLAR_SRXX,SYS-HW,NL,NetApp EMEA 3PL - EMA,NL,BE,BE,NL,DDP,KN,== sbx line info =>>,14653534,1,1,1,307258431,,0,DDP,SYS-HW,,SABRIX,B,SYS-HW-BUNDLED,30725843,153376,,Fujifilm Europe BV,160431,,,,== sbx tax outcome =>>,O,SF,Country,EUR,Netherlands,VAT,,1,Country,P,Y,,,,,,,,EUSG4: Output VAT in Ship From location.,NLVAT,ORACLE[NLVAT],,,10000,NL,,0,0,0,0,SR,S,0.21,Country,NETHERLANDS
2140400,153,NL ORDER IMPORT,NLB INVOICE,631051854,19251.1,2,1,30725844,30726494,LINE,12275.76,SABRIX,631NLAR_SRXX,SYS-HW,NL,NetApp EMEA 3PL - EMA,NL,BE,BE,NL,DDP,KN,== sbx line info =>>,14653534,2,1,1,307258442,,12275.76,DDP,SYS-HW,,SABRIX,B,SYS-HW-BUNDLED,30725844,679306,,Fujifilm Europe BV,160431,,,,== sbx tax outcome =>>,O,SF,Country,EUR,Netherlands,VAT,,1,Country,P,Y,,,,,,,,EUSG4: Output VAT in Ship From location.,NLVAT,ORACLE[NLVAT],,,10000,NL,,12275.76,12275.76,0,2577.91,SR,S,0.21,Country,NETHERLANDS
2140400,153,NL ORDER IMPORT,NLB INVOICE,631051854,19251.1,3,1,30725845,30726495,LINE,0,SABRIX,631NLAR_SRXX,SYS-HW,NL,NetApp EMEA 3PL - EMA,NL,BE,BE,NL,DDP,KN,== sbx line info =>>,14653534,3,1,1,307258453,,0,DDP,SYS-HW,,SABRIX,B,SYS-HW-BUNDLED,30725845,224888,,Fujifilm Europe BV,160431,,,,== sbx tax outcome =>>,O,SF,Country,EUR,Netherlands,VAT,,1,Country,P,Y,,,,,,,,EUSG4: Output VAT in Ship From location.,NLVAT,ORACLE[NLVAT],,,10000,NL,,0,0,0,0,SR,S,0.21,Country,NETHERLANDS
2140400,153,NL ORDER IMPORT,NLB INVOICE,631051854,19251.1,4,1,30725846,30726496,LINE,7,SABRIX,631NLAR_SRXX,SYS-HW,NL,NetApp EMEA 3PL - EMA,NL,BE,BE,NL,DDP,KN,== sbx line info =>>,14653534,4,1,1,307258464,,7,DDP,SYS-HW,,SABRIX,B,SYS-HW-BUNDLED,30725846,266308,,Fujifilm Europe BV,160431,,,,== sbx tax outcome =>>,O,SF,Country,EUR,Netherlands,VAT,,1,Country,P,Y,,,,,,,,EUSG4: Output VAT in Ship From location.,NLVAT,ORACLE[NLVAT],,,10000,NL,,7,7,0,1.47,SR,S,0.21,Country,NETHERLANDS
2140400,153,NL ORDER IMPORT,NLB INVOICE,631051854,19251.1,5,1,30725882,30726497,LINE,0,SABRIX,631NLAR_SRXX,SYS-HW,NL,NetApp EMEA 3PL - EMA,NL,BE,BE,NL,DDP,KN,== sbx line info =>>,14653534,5,1,1,307258825,,0,DDP,SYS-HW,,SABRIX,B,SYS-HW-BUNDLED,30725882,595400,,Fujifilm Europe BV,160431,,,,== sbx tax outcome =>>,O,SF,Country,EUR,Netherlands,VAT,,1,Country,P,Y,,,,,,,,EUSG4: Output VAT in Ship From location.,NLVAT,ORACLE[NLVAT],,,10000,NL,,0,0,0,0,SR,S,0.21,Country,NETHERLANDS
2140400,153,NL ORDER IMPORT,NLB INVOICE,631051854,19251.1,6,1,30725883,30726498,LINE,70,SABRIX,631NLAR_SRXX,SYS-HW,NL,NetApp EMEA 3PL - EMA,NL,BE,BE,NL,DDP,KN,== sbx line info =>>,14653534,6,1,1,307258836,,70,DDP,SYS-HW,,SABRIX,,SYS-HW,30725883,569151,,Fujifilm Europe BV,160431,,,,== sbx tax outcome =>>,O,SF,Country,EUR,Netherlands,VAT,,1,Country,P,Y,,,,,,,,EUSG4: Output VAT in Ship From location.,NLVAT,ORACLE[NLVAT],,,10000,NL,,70,70,0,14.7,SR,S,0.21,Country,NETHERLANDS
2140400,153,NL ORDER IMPORT,NLB INVOICE,631051854,19251.1,7,1,30725884,30726499,LINE,4.48,SABRIX,631NLAR_SRXX,SYS-HW,NL,NetApp EMEA 3PL - EMA,NL,BE,BE,NL,DDP,KN,== sbx line info =>>,14653534,7,1,1,307258847,,4.48,DDP,SYS-HW,,SABRIX,,SYS-HW,30725884,569157,,Fujifilm Europe BV,160431,,,,== sbx tax outcome =>>,O,SF,Country,EUR,Netherlands,VAT,,1,Country,P,Y,,,,,,,,EUSG4: Output VAT in Ship From location.,NLVAT,ORACLE[NLVAT],,,10000,NL,,4.48,4.48,0,0.94,SR,S,0.21,Country,NETHERLANDS
2140400,153,NL ORDER IMPORT,NLB INVOICE,631051854,19251.1,8,1,30725885,30726500,LINE,490.04,SABRIX,631NLAR_SRXX,SRV-HW-INSTALL,US,NetApp US Sunnyvale - SV,NL,BE,BE,NL,DDP,KN,== sbx line info =>>,14653534,8,1,1,307258858,,490.04,DDP,SRV-HW-INSTALL,US,SABRIX,B,SYS-HW-BUNDLED,30725885,8135722,,Fujifilm Europe BV,160431,,,,== sbx tax outcome =>>,O,SF,Country,EUR,Netherlands,VAT,,1,Country,P,Y,,,,,,,,EUSG4: Output VAT in Ship From location.,NLVAT,ORACLE[NLVAT],,,10000,NL,,490.04,490.04,0,102.91,SR,S,0.21,Country,NETHERLANDS
2140400,153,NL ORDER IMPORT,NLB INVOICE,631051854,19251.1,9,1,30725887,30726501,LINE,3062.72,SABRIX,631NLAR_SRXX,SRV-HW-MAINT,US,NetApp US Sunnyvale - SV,NL,BE,BE,NL,DDP,KN,== sbx line info =>>,14653534,9,1,1,307258879,,3062.72,DDP,SRV-HW-MAINT,US,SABRIX,B,SYS-HW-BUNDLED,30725887,8135531,,Fujifilm Europe BV,160431,,,,== sbx tax outcome =>>,O,SF,Country,EUR,Netherlands,VAT,,1,Country,P,Y,,,,,,,,EUSG4: Output VAT in Ship From location.,NLVAT,ORACLE[NLVAT],,,10000,NL,,3062.72,3062.72,0,643.17,SR,S,0.21,Country,NETHERLANDS
2140400,153,NL ORDER IMPORT,NLB INVOICE,631051854,19251.1,10,1,30725888,30726502,LINE,0,SABRIX,631NLAR_SRXX,SRV-SW-SUB-ELECTRONIC,US,NetApp US Sunnyvale - SV,NL,BE,BE,NL,DDP,KN,== sbx line info =>>,14653534,10,1,1,3072588810,,0,DDP,SRV-SW-SUB-ELECTRONIC,US,SABRIX,B,SYS-HW-BUNDLED,30725888,8135653,,Fujifilm Europe BV,160431,,,,== sbx tax outcome =>>,O,SF,Country,EUR,Netherlands,VAT,,1,Country,P,Y,,,,,,,,EUSG4: Output VAT in Ship From location.,NLVAT,ORACLE[NLVAT],,,10000,NL,,0,0,0,0,SR,S,0.21,Country,NETHERLANDS
2145300,153,NL ORDER IMPORT,NLB INVOICE,631052041,28013.29,1,1,30783390,30785358,LINE,150,SABRIX,631NLAR_EXGS,SYS-HW,US,NetApp US Sunnyvale - SV,NL,US,US,US,DDP,1DAY,== sbx line info =>>,14685181,1,1,1,307833901,,150,DDP,SYS-HW,,SABRIX,,SYS-HW,30783390,631476,,Jabil Circuit Inc. (OEM),72059,,,,== sbx tax outcome =>>,O,SF,Country,USD,Netherlands,VAT,,1,Country,P,Y,,,,,,,,"EUSG6: Nultarief van toepassing art. 9, lid 2, b) Wet OBTabel II, onderdeel a, post 2",NLVAT,ORACLE[NLVAT],,,5000,NL,,150,150,0,0,ZR,ZE,0,Country,NETHERLANDS
2145300,153,NL ORDER IMPORT,NLB INVOICE,631052041,28013.29,2,1,30783391,30785359,LINE,0.12,SABRIX,631NLAR_EXGS,SYS-HW,US,NetApp US Sunnyvale - SV,NL,US,US,US,DDP,1DAY,== sbx line info =>>,14685181,2,1,1,307833912,,0.12,DDP,SYS-HW,,SABRIX,,SYS-HW,30783391,211162,,Jabil Circuit Inc. (OEM),72059,,,,== sbx tax outcome =>>,O,SF,Country,USD,Netherlands,VAT,,1,Country,P,Y,,,,,,,,"EUSG6: Nultarief van toepassing art. 9, lid 2, b) Wet OBTabel II, onderdeel a, post 2",NLVAT,ORACLE[NLVAT],,,5000,NL,,0.12,0.12,0,0,ZR,ZE,0,Country,NETHERLANDS
